Security_cd,sc_name,Open Price,High Price,Low Price,Close Price,Total Traded Volume,Number of Trades ,Total Turnover,ISIN No.,FACE VALUE,COUP0N (%),Maturity Date
935980,1025KFL22   ,990.00,1000.00,990.00,1000.00,35.00,4,34750.00,INE403Q07615,1000.00,10.25                    ,
937431,1025MMFL26  ,984.00,984.00,984.00,984.00,150.00,1,147600.00,INE101Q08118,1000.00,10.25                    ,
936498,1040DLSL22  ,990.00,994.98,989.99,990.00,102.00,6,100984.00,INE614X07043,1000.00,10.40                    ,
936394,1040EFL24   ,990.09,990.09,980.00,980.00,1101.00,15,1084230.00,INE804I078Z5,1000.00,10.40                    ,
936366,1040MFL23   ,1100.00,1100.00,1100.00,1100.00,15.00,1,16500.00,INE522D07AL3,1000.00,10.40                    ,
936971,104ECL24    ,981.00,983.20,965.00,965.00,471.00,15,462449.00,INE804IA7220,1000.00,10.4                     ,
936977,104ECL29    ,941.00,941.00,941.00,941.00,15.00,1,14115.00,INE804IA7253,1000.00,10.4                     ,
936718,104EFL24    ,1035.00,1039.75,1035.00,1039.75,65.00,3,67393.00,INE804IA7113,1000.00,10.4                     ,
936724,104EFL29    ,952.00,952.00,952.00,952.00,43.00,1,40936.00,INE804IA7147,1000.00,10.4                     ,
936504,1050DLSL24  ,999.00,999.00,993.00,993.00,28.00,2,27942.00,INE614X07076,1000.00,10.50                    ,
936706,1050JMFPL24 ,1130.00,1130.00,1115.00,1115.00,140.00,4,156725.00,INE523H07AL2,1000.00,10.50                    ,
936430,105SEFL24   ,343.80,343.80,343.80,343.80,10.00,1,3438.00,INE881J07FS4,1000.00,10.5                     ,
936955,1065MHFL24  ,1112.50,1112.50,1112.50,1112.50,63.00,3,70087.00,INE360T07066,1000.00,10.65                    ,
936670,1075SEFL24  ,550.00,550.00,550.00,550.00,10.00,1,5500.00,INE872A07VC3,1000.00,10.75                    ,
936500,1090DLSL22  ,991.80,991.80,991.80,991.80,37.00,1,36696.00,INE614X07050,1000.00,10.90                    ,
935788,10EHFL26    ,952.00,952.00,952.00,952.00,100.00,1,95200.00,INE530L07228,1000.00,10                       ,
937453,10IFL28     ,1001.00,1001.00,1000.00,1000.00,214.00,4,214014.00,INE530B08094,1000.00,10                       ,
936476,10IFL29     ,1029.99,1029.99,1015.00,1015.00,1403.00,18,1425160.00,INE866I08279,1000.00,10                       ,
936376,10JMFCSL22  ,1052.00,1056.00,1052.00,1056.00,126.00,3,133052.00,INE651J07648,1000.00,10                       ,
936544,10MFL24     ,1050.00,1053.00,1017.03,1052.93,3015.00,27,3128054.00,INE414G07DG0,1000.00,10                       ,
937029,10MFL24AA   ,1098.00,1098.00,1098.00,1098.00,40.00,1,43920.00,INE414G07EM6,1000.00,10                       ,
935774,1115KFL22   ,980.00,1000.00,980.00,1000.00,18.00,6,17900.00,INE403Q07474,1000.00,11.15                    ,
935656,115KFL22    ,1000.00,1000.00,1000.00,1000.00,42.00,2,42000.00,INE403Q07391,1000.00,11.5                     ,
937369,682PFCL31   ,1015.00,1015.00,1015.00,1015.00,100.00,1,101500.00,INE134E07AL5,1000.00,6.82                     ,
937381,697PFCL36   ,1016.01,1027.00,1016.01,1027.00,478.00,4,490631.00,INE134E07AR2,1000.00,6.97                     ,
