SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
531556,CORAL (I)FIN,B ,Q,21.05,22.10,20.60,21.45,21.45,21.70,44,5374,116678.00,,INE558D01021,01-Apr-21,,
531568,ASHUTOSH PAP,XT,Q,1.16,1.16,1.16,1.16,1.16,1.11,2,1000,1160.00,,INE723K01018,01-Apr-21,,
531585,DEVINE IMPE ,XT,Q,2.23,2.23,2.23,2.23,2.23,2.13,3,113,251.00,,INE455C01014,01-Apr-21,,
531591,BAMPSL SECUR,XT,Q,2.94,2.94,2.94,2.94,2.94,2.89,12,7432,21850.00,,INE802A01037,01-Apr-21,,
531592,GENPHARMA   ,X ,Q,8.49,8.74,8.13,8.48,8.50,8.01,189,55541,467467.00,,INE861N01036,01-Apr-21,,
531595,CGCL        ,A ,Q,386.00,396.00,380.70,394.00,394.00,380.15,929,42282,16441598.00,,INE180C01026,01-Apr-21,,
531599,FDC LIMITED ,A ,Q,285.90,291.95,285.90,287.20,289.15,285.70,127,2742,789631.00,,INE258B01022,01-Apr-21,,
531608,GORANI INDUS,X ,Q,12.96,12.96,12.96,12.96,12.96,12.35,1,100,1296.00,,INE792J01015,01-Apr-21,,
531609,KG PETROCHEM,XT,Q,229.90,230.00,209.50,227.00,227.00,220.50,11,201,44133.00,,INE902G01016,01-Apr-21,,
531621,CENTERAC    ,XT,Q,1.47,1.49,1.47,1.49,1.49,1.47,4,1501,2211.00,,INE157B01026,01-Apr-21,,
531624,COUNTRY COND,T ,Q,2.06,2.17,2.00,2.17,2.17,2.08,33,28369,60884.00,,INE695B01025,01-Apr-21,,
531633,LINCOLN PHAR,A ,Q,227.00,238.25,225.70,236.95,236.95,224.70,908,37107,8706555.00,,INE405C01035,01-Apr-21,,
531637,PRAVEG      ,X ,Q,67.40,67.40,63.55,66.15,66.35,64.70,85,3502,230360.00,,INE722B01019,01-Apr-21,,
531638,SURAJ LTD   ,X ,Q,30.00,30.00,30.00,30.00,30.00,28.60,1,100,3000.00,,INE713C01016,01-Apr-21,,
531642,MARICOLTD   ,A ,Q,413.80,413.80,406.00,407.20,407.20,411.50,1345,37306,15234891.00,,INE196A01026,01-Apr-21,,
531648,MAHAVIRIND  ,XT,Q,0.68,0.68,0.65,0.68,0.68,0.68,10,657,442.00,,INE987M01023,01-Apr-21,,
531658,TRIJAL IND. ,X ,Q,3.12,3.12,3.09,3.09,3.09,3.00,2,21,64.00,,INE454E01013,01-Apr-21,,
531667,RRMETAL     ,X ,Q,22.00,22.00,22.00,22.00,22.00,22.00,1,4,88.00,,INE117K01013,01-Apr-21,,
531668,VISION CORPO,XT,Q,1.43,1.43,1.36,1.37,1.37,1.43,19,11100,15197.00,,INE661D01015,01-Apr-21,,
531672,INANI SEC.  ,XT,Q,15.70,15.70,15.70,15.70,15.70,16.50,1,6,94.00,,INE224C01014,01-Apr-21,,
531673,ANKA INDIA  ,X ,Q,10.25,10.25,10.00,10.00,10.00,10.45,3,3350,33937.00,,INE067C01025,01-Apr-21,,
531687,KARUTURI GLO,Z ,Q,0.26,0.28,0.26,0.27,0.28,0.27,61,506087,138363.00,,INE299C01024,01-Apr-21,,
531688,PRITHVIEXCH ,X ,Q,18.70,18.70,18.00,18.70,18.70,18.50,10,80,1461.00,,INE621B01021,01-Apr-21,,
531692,KHYATI MULTI,XT,Q,0.66,0.66,0.66,0.66,0.66,0.66,1,100,66.00,,INE593B01030,01-Apr-21,,
531717,VIDHIING    ,B ,Q,217.70,217.70,206.00,206.50,206.50,212.85,1057,35990,7566132.00,,INE632C01026,01-Apr-21,,
531719,BHAGIRA.CHEM,X ,Q,520.00,524.00,466.00,487.45,487.45,504.95,200,14101,7018820.00,,INE414D01019,01-Apr-21,,
531726,PANCHSHEEL O,XT,Q,84.90,86.35,82.00,82.95,83.20,84.90,9,612,51459.00,,INE316G01019,01-Apr-21,,
531727,MENON PISTON,X ,Q,17.45,17.60,16.60,17.40,17.40,17.00,122,14344,244518.00,,INE650G01029,01-Apr-21,,
531737,GREENCREST  ,X ,Q,0.81,0.81,0.81,0.81,0.81,0.80,12,8572,6943.00,,INE414C01029,01-Apr-21,,
531739,GENNEX LAB  ,X ,Q,3.99,4.00,3.83,3.95,3.96,3.91,254,141515,560078.00,,INE509C01026,01-Apr-21,,
531746,PRAJAY ENGS.,B ,Q,7.90,8.25,7.79,8.24,8.25,7.71,21,2705,21711.00,,INE505C01016,01-Apr-21,,
531752,SUN TECHNO  ,XT,Q,0.22,0.22,0.20,0.22,0.22,0.21,165,418352,89528.00,,INE703D01023,01-Apr-21,,
531758,G.K.CONSULT.,X ,Q,2.62,2.87,2.62,2.87,2.87,2.75,2,125,352.00,,INE131D01019,01-Apr-21,,
531761,APOLLOPIPES ,A ,Q,1000.00,1033.60,1000.00,1021.20,1021.20,987.25,859,7037,7168286.00,,INE126J01016,01-Apr-21,,
531762,UNJHA FORMUL,XT,Q,8.85,8.85,8.08,8.08,8.08,8.50,3,209,1764.00,,INE576D01015,01-Apr-21,,
531768,POLY MEDICUR,A ,Q,839.80,841.00,816.90,835.65,840.00,817.60,374,3203,2656965.00,,INE205C01021,01-Apr-21,,
531778,KACHCHHMIN  ,X ,Q,6.35,6.35,6.35,6.35,6.35,6.68,1,10,63.00,,INE059E01010,01-Apr-21,,
531784,KCLINFRA    ,XT,Q,0.97,1.05,0.97,1.05,1.05,1.00,20,13186,13609.00,,INE469F01026,01-Apr-21,,
531795,ATUL AUTO   ,B ,Q,178.00,182.95,178.00,180.60,180.40,179.00,223,5636,1018158.00,,INE951D01028,01-Apr-21,,
531810,METAL COATIN,X ,Q,28.20,28.20,25.65,27.40,28.20,26.90,11,471,12696.00,,INE161E01014,01-Apr-21,,
531812,SGN TELECOMS,XT,Q,0.49,0.49,0.49,0.49,0.49,0.49,4,2415,1183.00,,INE266C01023,01-Apr-21,,
531814,TIRUPATI SAR,X ,Q,6.33,6.88,6.33,6.79,6.79,6.89,13,1186,7591.00,,INE297J01023,01-Apr-21,,
531822,RODIUM      ,X ,Q,66.00,66.00,65.00,66.00,66.00,68.95,5,92,6032.00,,INE513E01024,01-Apr-21,,
531842,LAHOTI OVER.,X ,Q,13.15,14.25,13.10,13.52,13.16,13.65,19,1907,25670.00,,INE515C01023,01-Apr-21,,
531845,ZENITHSTL   ,T ,Q,0.56,0.57,0.56,0.57,0.57,0.58,5,4300,2419.00,,INE318D01020,01-Apr-21,,
531859,ORIRAIL     ,X ,Q,53.30,54.95,52.50,53.30,53.30,53.30,61,14292,765014.00,,INE457G01029,01-Apr-21,,
531861,JOINDRE CAPI,X ,Q,17.45,17.45,16.75,17.45,17.45,17.50,13,580,9798.00,,INE024B01010,01-Apr-21,,
531862,BHARATAGRI  ,X ,Q,157.05,165.15,157.05,162.00,165.00,161.25,37,810,129476.00,,INE842D01011,01-Apr-21,,
531867,UNITECH INTE,X ,Q,3.42,3.42,3.42,3.42,3.42,3.26,5,4129,14121.00,,INE929K01011,01-Apr-21,,
531869,SACHETA MET.,XT,Q,14.65,15.48,14.65,15.48,15.48,14.75,76,10087,153063.00,,INE433G01012,01-Apr-21,,
531870,POPULAR EST ,XT,Q,7.09,7.10,6.94,6.94,6.94,7.30,5,51,358.00,,INE370C01015,01-Apr-21,,
531878,ANJANI FINL ,X ,Q,4.69,4.69,4.69,4.69,4.69,4.60,1,1,4.00,,INE283D01018,01-Apr-21,,
531879,PIONEER DIS.,B ,Q,108.55,108.55,107.65,108.10,108.10,108.20,32,786,84719.00,,INE889E01010,01-Apr-21,,
531881,GMETCOAL    ,Z ,Q,10.70,11.23,10.70,11.23,11.23,10.70,4,81,893.00,,INE146F01020,01-Apr-21,,
531888,REXNORD ELE.,X ,Q,31.00,31.00,29.00,31.00,31.00,30.00,19,584,18075.00,,INE687C01012,01-Apr-21,,
531892,KHANDWALA SE,B ,Q,14.07,15.45,14.07,15.06,15.45,14.79,27,1084,16251.00,,INE060B01014,01-Apr-21,,
531893,SAWACA BUSI ,X ,Q,1.68,1.68,1.68,1.68,1.68,1.65,2,800,1344.00,,INE248B01015,01-Apr-21,,
531900,CCL INTER   ,XT,Q,16.80,16.80,16.80,16.80,16.80,17.15,1,15,252.00,,INE778E01031,01-Apr-21,,
531909,SWAGRUHA    ,XT,Q,3.41,3.41,3.09,3.09,3.09,3.25,29,9146,28433.00,,INE587J01027,01-Apr-21,,
531917,TWINSTAR SOF,Z ,Q,0.74,0.80,0.74,0.74,0.74,0.77,15,2512,1867.00,,INE070B01013,01-Apr-21,,
531921,AGAR IND COR,T ,Q,158.05,163.00,156.00,160.30,160.30,157.65,42,5873,950505.00,,INE204E01012,01-Apr-21,,
531923,DHAMPURE SGR,X ,Q,25.70,25.70,21.10,22.95,22.95,23.40,43,9653,217298.00,,INE956B01013,01-Apr-21,,
531925,SHANTANU SHE,XT,Q,0.85,0.89,0.81,0.89,0.89,0.85,14,617,527.00,,INE545N01019,01-Apr-21,,
531928,GOLDEN CARPE,X ,Q,4.50,4.50,4.50,4.50,4.50,4.50,2,20,90.00,,INE595D01015,01-Apr-21,,
531929,INNOCORP L  ,XT,Q,1.08,1.08,1.08,1.08,1.08,1.03,1,100,108.00,,INE214B01017,01-Apr-21,,
531952,RIBA TEXTILS,X ,Q,55.50,55.50,52.05,53.00,52.20,51.95,35,18242,959410.00,,INE811H01017,01-Apr-21,,
531968,IITL PROJ   ,XT,Q,28.20,28.20,28.20,28.20,28.20,28.25,2,10,282.00,,INE786E01018,01-Apr-21,,
531977,CHARTERLOGIS,X ,Q,3.36,3.41,3.21,3.41,3.41,3.25,21,25431,85728.00,,INE558F01026,01-Apr-21,,
531978,AMBIKA COTTO,B ,Q,908.90,920.00,899.10,908.75,920.00,891.20,462,1848,1675591.00,,INE540G01014,01-Apr-21,,
