SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
532895,NAGREKA CAP ,B ,Q,6.60,6.60,6.51,6.51,6.51,6.32,3,144,946.00,,INE245I01016,03-May-21,,
532898,POWER GRID  ,A ,Q,219.00,222.80,216.85,220.90,221.00,220.00,2464,304608,67235917.00,,INE752E01010,03-May-21,,
532899,KAVERI SEED ,A ,Q,604.10,630.20,595.55,613.40,614.90,604.10,1862,58713,36441477.00,,INE455I01029,03-May-21,,
532900,PAISALO     ,A ,Q,600.35,648.00,585.00,627.00,625.00,619.65,219,2511,1553500.00,,INE420C01042,03-May-21,,
532904,SUPREME INFR,Z ,Q,15.26,15.26,15.00,15.00,15.00,14.54,28,29611,451837.00,,INE550H01011,03-May-21,,
532906,MAANALU     ,B ,Q,189.95,195.60,187.00,188.95,188.95,186.10,715,20350,3889837.00,,INE215I01019,03-May-21,,
532907,ILFSENGG    ,Z ,Q,3.44,3.80,3.44,3.45,3.44,3.62,39,13566,47862.00,,INE369I01014,03-May-21,,
532911,PARLEIND    ,X ,Q,9.00,9.09,8.87,9.02,9.02,9.01,728,133168,1198519.00,,INE272G01014,03-May-21,,
532914,ARCOTECH LTD,Z ,Q,1.35,1.35,1.35,1.35,1.35,1.42,28,27549,37191.00,,INE574I01035,03-May-21,,
532915,RELIGARE ENT,A ,Q,86.95,87.95,85.10,86.05,85.95,85.70,1604,118253,10193770.00,,INE621H01010,03-May-21,,
532916,BARAK VALL  ,T ,Q,18.75,18.75,18.65,18.70,18.70,18.00,5,63,1178.00,,INE139I01011,03-May-21,,
532918,RATHI BARS  ,X ,Q,19.35,19.35,17.90,19.25,19.20,18.75,93,35357,678591.00,,INE575I01016,03-May-21,,
532921,ADANI PORTS ,A ,Q,728.40,765.00,715.00,761.25,761.25,729.90,16247,1289664,966195656.00,,INE742F01042,03-May-21,,
532922,EDELWEISS   ,A ,Q,59.20,59.20,56.70,57.25,57.05,58.40,1252,480985,27651100.00,,INE532F01054,03-May-21,,
