tradingsymbol,amc,name,purchase_allowed,redemption_allowed,minimum_purchase_amount,purchase_amount_multiplier,minimum_additional_purchase_amount,minimum_redemption_quantity,redemption_quantity_multiplier,dividend_type,scheme_type,plan,settlement_type,last_price,last_price_date
INF179K01BD4,HDFCMutualFund_MF,HDFC Top 100 Fund - Regular Plan,0,1,5000.0,0.01,1000.0,0.001,0.001,reinvest,Equity,regular,T3,43.914,2021-04-07
INF179K01BE2,HDFCMutualFund_MF,HDFC Top 100 Fund - Regular Plan,0,1,5000.0,0.01,1000.0,0.001,0.001,growth,Equity,regular,T3,577.424,2021-04-07
INF179K01YT2,HDFCMutualFund_MF,HDFC Top 100 Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Equity,direct,T3,48.037,2021-04-07
INF179K01YV8,HDFCMutualFund_MF,HDFC Top 100 Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,growth,Equity,direct,T3,608.876,2021-04-07
INF179KB10R5,HDFCMutualFund_MF,HDFC Ultra Short Term Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,10.0622,2021-04-07
INF179KB11R3,HDFCMutualFund_MF,HDFC Ultra Short Term Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,regular,T1,11.8559,2021-04-07
INF179KB15Q6,HDFCMutualFund_MF,HDFC Ultra Short Term Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,direct,T1,11.95,2021-04-07
INF179KB16R2,HDFCMutualFund_MF,HDFC Ultra Short Term Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.1614,2021-04-07
INF194K014M9,IDFCMUTUALFUND_MF,IDFC Banking & PSU Debt Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.6188,2021-04-08
INF194K015G8,IDFCMUTUALFUND_MF,IDFC Banking & PSU Debt Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,direct,T1,19.5786,2021-04-08
INF194K015M6,IDFCMUTUALFUND_MF,IDFC Banking & PSU Debt Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.9664,2021-04-08
INF194K016G6,IDFCMUTUALFUND_MF,IDFC Banking & PSU Debt Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,10.2996,2021-04-08
INF194K017M2,IDFCMUTUALFUND_MF,IDFC Banking & PSU Debt Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,reinvest,Debt,regular,T1,10.702,2021-04-08
INF194K018M0,IDFCMUTUALFUND_MF,IDFC Banking & PSU Debt Fund - Direct Plan,1,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,direct,T1,10.7089,2021-04-08
INF194K01SN6,IDFCMUTUALFUND_MF,IDFC Banking & PSU Debt Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,growth,Debt,regular,T1,19.271,2021-04-08
INF194K01SO4,IDFCMUTUALFUND_MF,IDFC Banking & PSU Debt Fund,0,1,5000.0,0.01,1000.0,0.001,0.001,payout,Debt,regular,T1,10.4061,2021-04-08
INF109K011K3,ICICIPrudentialMutualFund_MF,ICICI Prudential Value Discovery Fund - Direct Plan,1,1,1000.0,1.0,500.0,0.001,0.001,payout,Equity,direct,T3,58.87,2021-04-08
INF109K012K1,ICICIPrudentialMutualFund_MF,ICICI Prudential Value Discovery Fund - Direct Plan,1,1,1000.0,1.0,500.0,0.001,0.001,growth,Equity,direct,T3,211.75,2021-04-08
INF109K01AD3,ICICIPrudentialMutualFund_MF,ICICI Prudential Value Discovery Fund,0,1,1000.0,1.0,500.0,0.001,0.001,reinvest,Equity,regular,T3,26.15,2021-04-08
